"datas","minutes"
"2014-12","40.017066666666665"
"2015-01","135.57843333333332"
"2015-06","717.4741666666662"
"2015-07","35.49524999999999"
"2015-08","220.5301333333334"
"2015-09","32.07888333333334"
"2015-10","10.397683333333333"
"2017-09","4866.986466666668"
"2017-10","8197.399133333338"
"2017-11","5831.850300000001"
"2017-12","1144.5797833333336"
"2018-02","3565.931183333328"
"2018-03","6082.157716666671"
"2018-04","6447.018466666667"
"2018-05","8852.45978333334"
"2018-06","8908.835899999995"
"2018-07","5517.942099999995"
"2018-08","6595.010683333324"
"2018-09","7244.197666666643"
"2018-10","7005.524700000008"
"2018-11","6751.791216666674"
"2018-12","9084.328000000027"
"2019-01","8833.756450000024"
"2019-02","6574.732233333328"
"2019-03","7388.359416666662"
"2019-04","6750.303233333339"
"2019-05","8358.574033333329"
"2019-06","7366.325899999985"
"2019-07","6872.799116666662"
"2019-08","7788.178833333338"
"2019-09","7657.887333333333"
"2019-10","8148.960266666692"
"2019-11","8194.760916666653"
"2019-12","7893.089666666662"
"2020-01","8699.372100000015"
"2020-02","7060.42794999999"
"2020-03","8891.244883333347"
"2020-04","9354.798733333295"
"2020-05","9085.803533333325"
"2020-06","8557.48971666668"
"2020-07","6983.382500000002"
"2020-08","4104.490733333341"
"2020-09","5059.085949999987"
"2020-10","8344.12216666668"
"2020-11","4256.286166666667"
"2020-12","9277.784633333305"
"2021-01","8267.142016666683"
"2021-02","6621.47290000002"
"2021-03","5817.63228333334"
"2021-04","7957.397949999988"
"2021-05","10033.035283333349"
"2021-06","4308.220833333337"
"2021-07","5295.449699999993"
"2021-08","5268.208799999991"
"2021-09","4415.52266666667"
"2021-10","4721.94420000001"
"2021-11","4925.011266666666"
"2021-12","4205.620550000001"
"2022-01","5207.936616666666"
"2022-02","6117.287900000002"
"2022-03","4992.0968833333445"
"2022-04","4773.343066666671"
"2022-05","6121.80633333333"
"2022-06","6675.2595333333265"
"2022-07","4499.518816666654"
"2022-08","3533.115400000001"
"2022-09","3529.726083333335"
"2022-10","4909.3206"
"2022-11","5221.982716666665"
"2022-12","3816.0895666666643"
"2023-01","2393.013249999998"
"2023-02","2577.2128833333386"
"2023-03","3117.006149999996"
"2023-04","3435.8871666666664"
"2023-05","3174.9251333333305"
"2023-06","1824.1896000000029"
"2023-07","2989.7865333333343"
"2023-08","2353.00923333333"
"2023-09","3037.1258833333313"
"2023-10","3129.367233333332"
"2023-11","2647.003216666666"
"2023-12","5411.427000000002"
"2024-01","3329.046583333337"
"2024-02","2400.666133333333"
"2024-03","3612.2038499999962"
"2024-04","1369.8652166666664"
"2024-05","3621.791083333332"
"2024-06","2087.1757500000012"
"2024-07","301.6755166666667"
