"year","month","avg_daily_minutes"
"2014","12","13.3390222222222222"
"2015","1","27.1156866666666667"
"2015","6","71.7474166666666667"
"2015","7","8.87381249999999999167"
"2015","8","36.75502222222222220556"
"2015","9","1.45813106060606059849"
"2015","10","0.74269166666666666429"
"2017","9","194.67945866666666665867"
"2017","10","264.4322301075268817"
"2017","11","194.3950100000000000"
"2017","12","104.05270757575757575152"
"2018","2","209.7606578431372549"
"2018","3","196.19863602150537633871"
"2018","4","214.9006155555555556"
"2018","5","285.5632188172043011"
"2018","6","296.9611966666666667"
"2018","7","177.9981322580645161"
"2018","8","212.7422801075268817"
"2018","9","241.4732555555555556"
"2018","10","225.9846677419354839"
"2018","11","225.0597072222222222"
"2018","12","293.0428387096774194"
"2019","1","284.9598854838709677"
"2019","2","234.8118654761904762"
"2019","3","246.2786472222222222"
"2019","4","225.0101077777777778"
"2019","5","269.6314204301075269"
"2019","6","245.5441966666666667"
"2019","7","229.0933038888888889"
"2019","8","251.2315752688172043"
"2019","9","255.2629111111111111"
"2019","10","262.8696860215053763"
"2019","11","273.1586972222222222"
"2019","12","254.6157956989247312"
"2020","1","280.6249064516129032"
"2020","2","243.4630327586206897"
"2020","3","286.8143510752688172"
"2020","4","311.82662444444444444444"
"2020","5","293.0904365591397849"
"2020","6","285.2496572222222222"
"2020","7","225.2704032258064516"
"2020","8","141.5341632183908046"
"2020","9","180.6816410714285714"
"2020","10","269.1652311827956989"
"2020","11","141.8762055555555556"
"2020","12","299.2833752688172043"
"2021","1","266.6820005376344086"
"2021","2","236.4811750000000000"
"2021","3","187.6655575268817204"
"2021","4","274.3930327586206897"
"2021","5","323.6462994623655914"
"2021","6","143.6073611111111111"
"2021","7","176.5149900000000000"
"2021","8","175.6069600000000000"
"2021","9","169.82779487179487180000"
"2021","10","152.3207806451612903"
"2021","11","169.8279747126436781"
"2021","12","168.2248220000000000"
"2022","1","167.9979553763440860"
"2022","2","226.5662185185185185"
"2022","3","166.4032294444444444"
"2022","4","170.4765380952380952"
"2022","5","197.4776236559139785"
"2022","6","247.2318345679012346"
"2022","7","155.1558212643678161"
"2022","8","126.18269285714285713810"
"2022","9","121.71469252873563218966"
"2022","10","163.6440200000000000"
"2022","11","180.0683695402298851"
"2022","12","123.0996634408602151"
"2023","1","82.5176982758620690"
"2023","2","107.38387013888888887917"
"2023","3","111.3216482142857143"
"2023","4","127.2550802469135802"
"2023","5","113.3901833333333333"
"2023","6","62.9030896551724138"
"2023","7","103.0960873563218391"
"2023","8","90.5003551282051282"
"2023","9","104.72847873563218390805"
"2023","10","111.7631154761904762"
"2023","11","94.5358291666666667"
"2023","12","180.3809000000000000"
"2024","1","107.3885994623655914"
"2024","2","92.3333128205128205"
"2024","3","124.5587534482758621"
"2024","4","62.2666007575757576"
"2024","5","124.88934770114942528276"
"2024","6","80.2759903846153846"
"2024","7","100.5585055555555555"
