"minutes","master_metadata_album_album_name"
"4881.193933333329","Day of the Dead"
"2294.570816666677","Sleep Well Beast"
"2131.6072500000037","Pure Comedy"
"1977.7232333333313","Fear Fun"
"1922.9021333333303","God's Favorite Customer"
"1571.3359666666706","Con Todo El Mundo"
"1494.6715500000028","Crack-Up"
"1394.0109333333344","Shore"
"1300.8929666666668","Grona Gniewu"
"1300.592316666664","I Am Easy to Find"
"1291.1749333333355","Tranquility Base Hotel & Casino"
"1214.170316666667","iridescence"
"1162.7274166666673","I Love You, Honeybear"
"1150.616633333332","Joy as an Act of Resistance."
"1147.0469666666665","Push the Sky Away"
"1137.8570333333325","Set My Heart On Fire Immediately"
"1116.836266666667","6 Feet Beneath the Moon"
"1095.8834499999991","Warhaus"
"1012.3649833333345","Boxer Live in Brussels"
"966.7134833333342","græ"
"943.6694","Chloë and the Next 20th Century"
"941.8226999999988","Stop Making Sense"
"937.0539499999999","Death Of A Ladies' Man"
"934.7687833333324","1976: A Space Odyssey"
"912.5186500000003","Shepherd in a Sheepskin Vest"
"896.8390833333335","Dragon New Warm Mountain I Believe In You"
"842.6024166666652","New Skin For The Old Ceremony"
"839.9476999999999","Ici le Jour (a tout enseveli)"
"828.4022166666665","Blonde On Blonde"
"813.2924333333327","London Calling (Remastered)"
"806.2971833333334","U.F.O.F."
"803.1454999999993","Two Hands"
"800.6376833333334","Soma 0,5 mg"
"792.0213999999994","Pompeii"
"778.2541","Orquesta Akokán"
"776.2145333333336","SATURATION III"
"776.0788","Trouble Will Find Me"
"775.4930833333342","Remind Me Tomorrow"
"773.6824333333332","Marquee Moon"
"745.8814833333331","Songs From A Room"
"735.4430333333332","Titanic Rising"
"733.9379333333331","Songs of Praise"
"718.0702333333334","Merriweather Post Pavilion"
"713.2825499999989","All Mirrors"
"712.8818500000001","New Long Leg"
"702.8837833333336","Ethiopiques, Vol. 1: Golden Years of Modern Ethiopian Music 1969-1975"
"700.2200833333336","Deja Vu"
"698.9331833333333","The Lumineers"
"689.7991999999992","Warm Chris"
"689.0101833333326","""Awaken, My Love!"""
