"year","month","number_of_unique_artists"
"2014","December ","9"
"2015","August   ","85"
"2015","January  ","4"
"2015","July     ","56"
"2015","June     ","406"
"2015","October  ","15"
"2015","September","31"
"2017","December ","176"
"2017","November ","381"
"2017","October  ","464"
"2017","September","344"
"2018","April    ","300"
"2018","August   ","404"
"2018","December ","746"
"2018","February ","203"
"2018","July     ","417"
"2018","June     ","549"
"2018","March    ","317"
"2018","May      ","479"
"2018","November ","454"
"2018","October  ","465"
"2018","September","280"
"2019","April    ","450"
"2019","August   ","321"
"2019","December ","453"
"2019","February ","365"
"2019","January  ","609"
"2019","July     ","444"
"2019","June     ","471"
"2019","March    ","391"
"2019","May      ","421"
"2019","November ","529"
"2019","October  ","442"
"2019","September","284"
"2020","April    ","405"
"2020","August   ","246"
"2020","December ","639"
"2020","February ","438"
"2020","January  ","522"
"2020","July     ","296"
"2020","June     ","323"
"2020","March    ","444"
"2020","May      ","505"
"2020","November ","302"
"2020","October  ","401"
"2020","September","293"
"2021","April    ","417"
"2021","August   ","416"
"2021","December ","421"
"2021","February ","512"
"2021","January  ","637"
"2021","July     ","345"
"2021","June     ","325"
"2021","March    ","462"
"2021","May      ","321"
"2021","November ","336"
"2021","October  ","357"
"2021","September","182"
"2022","April    ","256"
"2022","August   ","329"
"2022","December ","362"
"2022","February ","327"
"2022","January  ","395"
"2022","July     ","301"
"2022","June     ","393"
"2022","March    ","409"
"2022","May      ","483"
"2022","November ","397"
"2022","October  ","436"
"2022","September","305"
"2023","April    ","354"
"2023","August   ","228"
"2023","December ","473"
"2023","February ","244"
"2023","January  ","259"
"2023","July     ","259"
"2023","June     ","138"
"2023","March    ","261"
"2023","May      ","359"
"2023","November ","192"
"2023","October  ","212"
"2023","September","194"
"2024","April    ","111"
"2024","February ","206"
"2024","January  ","296"
"2024","July     ","28"
"2024","June     ","200"
"2024","March    ","355"
"2024","May      ","412"
